	number of loci using default parameters	number of loci when minimum number of reads is 6	Proportion of loci 
2012HBLo01.snps.tsv	56085	40427	0.720816618
2012HBLo02.snps.tsv	57321	36565	0.63789885
2012HBMd01.snps.tsv	36616	25295	0.690818222
2012HBMd02.snps.tsv	18960	15346	0.809388186
2014KdHi1103.snps.tsv	28106	22996	0.818188287
2014KdHi1402.snps.tsv	31346	25016	0.798060359
2014KdHi2604.snps.tsv	18084	14812	0.819066578
2014KdLo1803b.snps.tsv	20791	16549	0.79596941
2014KdLo2402b.snps.tsv	17861	15070	0.843737753
2014KdLo2502c.snps.tsv	32777	20911	0.63797785
2014KdMH0405.snps.tsv	17631	14739	0.835970733
2014KdMH2305.snps.tsv	19502	16273	0.834427238
2014KdMH3005.snps.tsv	21134	17057	0.807088104
2014KdML0105.snps.tsv	26945	20838	0.773353127
2014KdML0401.snps.tsv	27326	20607	0.754116958
2014KdML2605.snps.tsv	19852	16077	0.809842837
2014NkNHi0705.snps.tsv	20128	16237	0.806687202
2014NkNHi1205.snps.tsv	21415	17551	0.819565725
2014NkNHi1903.snps.tsv	22789	17871	0.784194129
2014NkNLo0605.snps.tsv	20617	16467	0.798709803
2014NkNLo0801.snps.tsv	30875	26647	0.863060729
2014NkNLo2802.snps.tsv	21076	17183	0.815287531
2014NkNMH1005.snps.tsv	23960	17383	0.725500835
2014NkNMH1401.snps.tsv	20781	16967	0.816466965
2014NkNMH1702b.snps.tsv	20910	16457	0.787039694
2014NkNML0504.snps.tsv	20836	16531	0.793386447
2014NkNML0702.snps.tsv	22580	17134	0.758813109
2014NkNML0902.snps.tsv	27229	20688	0.759778178
2014NkSHi0203.snps.tsv	20576	16701	0.811673795
2014NkSHi0505.snps.tsv	19752	16239	0.822144593
2014NkSHi2201.snps.tsv	18332	15274	0.833187868
2014NkSLo1001c.snps.tsv	20987	17026	0.811264116
2014NkSLo1702.snps.tsv	21105	17059	0.808291874
2014NkSLo2604.snps.tsv	21603	17093	0.791232699
2014NkSMH0104.snps.tsv	21239	17454	0.821790103
2014NkSMH1801.snps.tsv	23257	18023	0.774949478
2014NkSMH2901.snps.tsv	19741	16040	0.812522162
2014NkSML2605.snps.tsv	34448	21427	0.622009986
2014NkSML2605TGCGA.snps.tsv	21143	17247	0.815730975
2014NkSML2901.snps.tsv	20115	16516	0.821078797
2015APKHi08.snps.tsv	24391	14905	0.611086056
2015APKHi23.snps.tsv	26568	17168	0.646190906
2015APRMd09.snps.tsv	23022	16067	0.697897663
2015APRMd20.snps.tsv	22594	16307	0.721740285
2015KdHi0302b.snps.tsv	20428	16656	0.815351478
2015KdHi0703.snps.tsv	19887	16354	0.822346256
2015KdHi0905.snps.tsv	22083	17730	0.802880043
2015KdLo1501b.snps.tsv	21373	16930	0.7921209
2015KdLo2004d.snps.tsv	26576	19522	0.734572547
2015KdLo2702c.snps.tsv	21183	17222	0.813010433
2015KdMH07A04.snps.tsv	26863	20446	0.761121245
2015KdMH1104.snps.tsv	18042	15203	0.84264494
2015KdMH2204.snps.tsv	21483	16484	0.76730438
2015KdML0801.snps.tsv	20349	15896	0.781168608
2015KdML0905.snps.tsv	33639	23858	0.709236303
2015KdML2905.snps.tsv	20512	16542	0.806454758
2015KobHi01.snps.tsv	20623	16443	0.797313679
2015KobHi14.snps.tsv	18210	15198	0.834596376
2015NkNHi0904.snps.tsv	21026	17077	0.812184914
2015NkNHi1205.snps.tsv	26132	18194	0.696234502
2015NkNHi2403.snps.tsv	25062	19867	0.792714069
2015NkNLo0302.snps.tsv	33497	27640	0.825148521
2015NkNLo2103b.snps.tsv	22477	17087	0.760199315
2015NkNLo2805.snps.tsv	28128	20461	0.72742463
2015NkNMH0202.snps.tsv	22607	18112	0.80116778
2015NkNMH1001.snps.tsv	26362	19914	0.755405508
2015NkNMH1801b.snps.tsv	21737	17319	0.796752082
2015NkNML0902b.snps.tsv	21236	16567	0.780137502
2015NkNML1402.snps.tsv	29126	20336	0.698207787
2015NkNML2105.snps.tsv	30012	21629	0.720678395
2015NkSHi0705c.snps.tsv	21349	16509	0.773291489
2015NkSHi1502.snps.tsv	22264	17513	0.78660618
2015NkSHi2201b.snps.tsv	22610	17073	0.755108359
2015NkSLo3702.snps.tsv	22337	17565	0.786363433
2015NkSLo3802b.snps.tsv	22860	16909	0.73967629
2015NkSLo4001.snps.tsv	26796	19855	0.740968801
2015NkSMH0302.snps.tsv	84493	51654	0.611340584
2015NkSMH1203.snps.tsv	26950	18262	0.677625232
2015-NkS-MH-20-5.snps.tsv	42256	25578	0.605310488
2015NkSML1301b.snps.tsv	52184	27195	0.521136747
2015NkSML2703b.snps.tsv	22093	17106	0.774272394
2015NkSML3001b.snps.tsv	23374	17541	0.750449217
2015PhoMH20.snps.tsv	19061	15440	0.810030953
2015PhoMH21.snps.tsv	16120	13727	0.851550868
2015SPHi04.snps.tsv	23249	17395	0.748204224
2015SPHi17.snps.tsv	35682	21910	0.614035088
2015SPLo15.snps.tsv	30300	22489	0.742211221
2015SPLo16.snps.tsv	24538	19578	0.797864537
2015SPMd03.snps.tsv	20593	16542	0.803282669
2015SPMd23.snps.tsv	20315	16287	0.801722865
2015SSHi13.snps.tsv	35253	23251	0.659546705
2015SSHi19.snps.tsv	19302	15655	0.811055849
2015SSLo02.snps.tsv	21174	16473	0.777982431
2015SSLo09.snps.tsv	25053	19397	0.774238614
2015SSMH22.snps.tsv	23055	18122	0.786033398
2015SSML06.snps.tsv	29048	17641	0.60730515
			
			0.765537433
			0.521136747
			0.863060729
