Sample_ID 	REF_count 	ALT_count 	HET_count 	MISSING 	Total_sites 	Prop_ref 	Prop_alt 	Prop_het 	Prop_missing
2014KdHi1103	2008	59	113	13241	15421	0.921100917431	0.0270642201835	0.0518348623853	0.85863432981
2014KdHi1402	2039	53	120	13209	15421	0.921790235081	0.0239602169982	0.0542495479204	0.856559237404
2014KdHi2604	2062	49	112	13198	15421	0.927575348628	0.0220422852002	0.0503823661718	0.855845924389
2014KdLo1803b	1937	30	117	13337	15421	0.929462571977	0.0143953934741	0.0561420345489	0.864859607029
2014KdLo2402b	1950	44	125	13302	15421	0.920245398773	0.0207645115621	0.0589900896649	0.86258997471
2014KdLo2502c	1965	37	126	13293	15421	0.923402255639	0.0173872180451	0.0592105263158	0.86200635497
2014KdMH0405	1853	37	114	13417	15421	0.924650698603	0.0184630738523	0.0568862275449	0.870047338046
2014KdMH2305	1881	25	131	13384	15421	0.923416789396	0.0122729504173	0.0643102601865	0.867907399001
2014KdMH3005	1897	34	115	13375	15421	0.927174975562	0.0166177908113	0.0562072336266	0.867323779262
2014KdML0105	2578	120	174	12549	15421	0.897632311978	0.041782729805	0.0605849582173	0.81376045652
2014KdML0401	2683	83	164	12491	15421	0.915699658703	0.0283276450512	0.0559726962457	0.809999351534
2014KdML2605	2692	73	182	12474	15421	0.913471326773	0.024770953512	0.061757719715	0.808896958693
2014NkNHi0705	2272	70	132	12947	15421	0.918350848828	0.0282942603072	0.053354890865	0.839569418326
2014NkNHi1205	2299	61	151	12910	15421	0.915571485464	0.0242931103146	0.0601354042214	0.837170092731
2014NkNHi1903	2321	60	139	12901	15421	0.921031746032	0.0238095238095	0.0551587301587	0.836586472991
2014NkNLo0605	1863	74	119	13365	15421	0.906128404669	0.0359922178988	0.0578793774319	0.866675312885
2014NkNLo0801	1892	56	141	13332	15421	0.905696505505	0.0268070847295	0.0674964097654	0.864535373841
2014NkNLo2802	1868	86	141	13326	15421	0.891646778043	0.0410501193317	0.0673031026253	0.864146294015
2014NkNMH1005	1861	74	128	13358	15421	0.90208434319	0.0358700920989	0.0620455647116	0.866221386421
2014NkNMH1401	1895	87	114	13325	15421	0.904103053435	0.0415076335878	0.0543893129771	0.864081447377
2014NkNMH1702b	1907	87	112	13315	15421	0.905508072175	0.0413105413105	0.0531813865147	0.863432981
2014NkNML0504	2091	80	129	13121	15421	0.909130434783	0.0347826086957	0.0560869565217	0.850852733286
2014NkNML0702	2139	64	125	13093	15421	0.91881443299	0.0274914089347	0.0536941580756	0.84903702743
2014NkNML0902	2130	54	154	13083	15421	0.911035072712	0.0230966638152	0.0658682634731	0.848388561053
2014NkSHi0203	1821	68	122	13410	15421	0.905519641969	0.0338140228742	0.0606663351566	0.869593411582
2014NkSHi0505	1886	57	110	13368	15421	0.918655625913	0.0277642474428	0.0535801266439	0.866869852798
2014NkSHi2201	1881	57	119	13364	15421	0.914438502674	0.0277102576568	0.0578512396694	0.866610466247
2014NkSLo1001c	2117	84	98	13122	15421	0.920835145716	0.0365376250544	0.0426272292301	0.850917579923
2014NkSLo1702	2141	89	109	13082	15421	0.915348439504	0.0380504489098	0.0466011115861	0.848323714415
2014NkSLo2604	2132	105	110	13074	15421	0.908393694078	0.0447379633575	0.046868342565	0.847804941314
2014NkSMH0104	2193	76	140	13012	15421	0.910336239103	0.0315483603155	0.0581154005812	0.843784449776
2014NkSMH1801	2203	75	161	12982	15421	0.90323903239	0.0307503075031	0.0660106601066	0.841839050645
2014NkSMH2901	2241	73	143	12964	15421	0.912087912088	0.029711029711	0.0582010582011	0.840671811167
2014NkSML2605	2077	41	118	13185	15421	0.928890876565	0.0183363148479	0.0527728085868	0.855002918099
2014NkSML2605TGCGA	2097	45	117	13162	15421	0.92828685259	0.0199203187251	0.0517928286853	0.853511445432
2014NkSML2901	2125	35	110	13151	15421	0.936123348018	0.0154185022026	0.0484581497797	0.852798132417
2015KdHi0302b	2065	29	102	13225	15421	0.940346083789	0.0132058287796	0.0464480874317	0.857596783607
2015KdHi0703	2086	35	116	13184	15421	0.932498882432	0.0156459544032	0.051855163165	0.854938071461
2015KdHi0905	2064	40	141	13176	15421	0.919376391982	0.0178173719376	0.0628062360802	0.854419298359
2015KdLo1501b	2891	171	155	12204	15421	0.898663350948	0.0531551134597	0.0481815355922	0.791388366513
2015KdLo2004d	2929	163	177	12152	15421	0.895992658305	0.0498623432242	0.0541449984705	0.788016341353
2015KdLo2702c	2954	189	137	12141	15421	0.900609756098	0.0576219512195	0.0417682926829	0.787303028338
2015KdMH07A04	5179	561	1288	8393	15421	0.736909504838	0.0798235628913	0.183266932271	0.544257830232
2015KdML0801	2041	36	143	13201	15421	0.919369369369	0.0162162162162	0.0644144144144	0.856040464302
2015KdML0905	2027	54	165	13175	15421	0.90249332146	0.0240427426536	0.073463935886	0.854354451722
2015KdML2905	2058	61	135	13167	15421	0.913043478261	0.0270629991127	0.0598935226264	0.85383567862
2015NkNHi0904	2198	68	104	13051	15421	0.927426160338	0.0286919831224	0.0438818565401	0.846313468647
2015NkNHi1205	2227	69	99	13026	15421	0.929853862213	0.0288100208768	0.0413361169102	0.844692302704
2015NkNHi2403	2210	68	122	13021	15421	0.920833333333	0.0283333333333	0.0508333333333	0.844368069516
2015NkNML0902b	2126	90	112	13093	15421	0.91323024055	0.0386597938144	0.0481099656357	0.84903702743
2015NkNML1402	2143	71	150	13057	15421	0.906514382403	0.0300338409475	0.0634517766497	0.846702548473
2015NkNML2105	2158	75	144	13044	15421	0.907867059318	0.0315523769457	0.0605805637358	0.845859542183
2015NkNMH0202	2689	164	147	12421	15421	0.896333333333	0.0546666666667	0.049	0.805460086894
2015NkNMH1001	2763	189	125	12344	15421	0.897952551186	0.0614234644134	0.0406239844004	0.800466895791
2015NkNMH1801b	2746	182	154	12339	15421	0.890979883193	0.0590525632706	0.0499675535367	0.800142662603
2015NkNLo0302	2827	200	144	12250	15421	0.891516871649	0.0630715862504	0.0454115421003	0.794371311847
2015NkNLo2103b	2839	198	158	12226	15421	0.888575899844	0.0619718309859	0.0494522691706	0.792814992543
2015NkNLo2805	2854	167	183	12217	15421	0.890761548065	0.0521223470662	0.0571161048689	0.792231372803
2015NkSHi0705c	2007	49	109	13256	15421	0.927020785219	0.0226327944573	0.0503464203233	0.859607029376
2015NkSHi1502	2020	49	132	13220	15421	0.917764652431	0.0222626079055	0.0599727396638	0.857272550418
2015NkSHi2201b	2051	33	132	13205	15421	0.925541516245	0.0148916967509	0.0595667870036	0.856299850853
2015NkSLo3702	2415	81	171	12754	15421	0.905511811024	0.0303712035996	0.0641169853768	0.827054017249
2015NkSLo3802b	2509	92	141	12679	15421	0.915025528811	0.0335521517141	0.0514223194748	0.822190519422
2015NkSLo4001	2482	90	181	12668	15421	0.901561932437	0.0326916091537	0.065746458409	0.821477206407
2015-NkS-MH-20-5	1985	86	139	13211	15421	0.898190045249	0.0389140271493	0.0628959276018	0.856688930679
2015NkSMH0302	2038	61	173	13149	15421	0.897007042254	0.0268485915493	0.0761443661972	0.852668439141
2015NkSMH1203	2032	99	155	13135	15421	0.888888888889	0.0433070866142	0.0678040244969	0.851760586214
2015NkSML1301b	2369	52	155	12845	15421	0.919642857143	0.0201863354037	0.0601708074534	0.83295506128
2015NkSML2703b	2425	77	140	12779	15421	0.917865253596	0.0291445874338	0.0529901589705	0.828675183192
2015NkSML3001b	2445	77	127	12772	15421	0.922989807475	0.0290675726689	0.0479426198565	0.828221256728
2015KdMH1104	2391	47	179	12804	15421	0.913641574322	0.0179594956057	0.0683989300726	0.830296349134
2015KdMH2204	2457	53	159	12752	15421	0.920569501686	0.0198576245785	0.0595728737355	0.826924323974
2015KobHi01	1925	209	155	13132	15421	0.840978593272	0.0913062472696	0.0677151594583	0.8515660463
2015KobHi14	1979	206	142	13094	15421	0.850451224753	0.0885259991405	0.0610227761066	0.849101874068
2015PhoMH20	1675	194	115	13437	15421	0.844254032258	0.0977822580645	0.0579637096774	0.8713442708
2015PhoMH21	1729	194	113	13385	15421	0.849214145383	0.0952848722986	0.0555009823183	0.867972245639
2015APRMd09	2408	298	197	12518	15421	0.829486737857	0.102652428522	0.0678608336204	0.811750210752
2015APRMd20	2464	297	218	12442	15421	0.827123195703	0.0996978851964	0.0731789191004	0.806821866286
2015APKHi08	1620	287	198	13316	15421	0.769596199525	0.136342042755	0.0940617577197	0.863497827638
2015APKHi23	1703	312	190	13216	15421	0.772335600907	0.141496598639	0.0861678004535	0.857013163867
2015SSLo02	2641	306	225	12249	15421	0.832597730139	0.0964691046658	0.0709331651955	0.79430646521
2015SSLo09	2715	303	259	12144	15421	0.828501678364	0.0924626182484	0.0790357033872	0.787497568251
2015SSML06	3469	413	966	10573	15421	0.715552805281	0.0851897689769	0.199257425743	0.685623500422
2015SSMH22	4146	452	888	9935	15421	0.755741888443	0.0823915421072	0.16186656945	0.644251345568
2015SSHi13	2539	227	188	12467	15421	0.859512525389	0.0768449559919	0.0636425186188	0.808443032229
2015SSHi19	2559	230	213	12419	15421	0.852431712192	0.0766155896069	0.0709526982012	0.805330393619
2015SPLo15	2756	300	376	11989	15421	0.80303030303	0.0874125874126	0.109557109557	0.777446339407
2015SPLo16	3007	298	312	11804	15421	0.831351949129	0.0823887199336	0.0862593309372	0.765449711432
2015SPMd03	2360	277	200	12584	15421	0.831864645753	0.0976383503701	0.0704970038773	0.81603008884
