Sample_ID 	REF_count 	ALT_count 	HET_count 	MISSING 	Total_sites 	Prop_ref 	Prop_alt 	Prop_het 	Prop_missing
2014KdHi1103	2008	59	113	13241	15421	0.130212048505	0.00382595162441	0.00732767006031	0.85863432981
2014KdHi1402	2039	53	120	13209	15421	0.132222294274	0.0034368717982	0.00778159652422	0.856559237404
2014KdHi2604	2062	49	112	13198	15421	0.133713766941	0.00317748524739	0.00726282342261	0.855845924389
2014KdLo1803b	1937	30	117	13337	15421	0.125607937228	0.00194539913106	0.00758705661111	0.864859607029
2014KdLo2402b	1950	44	125	13302	15421	0.126450943519	0.00285325205888	0.00810582971273	0.86258997471
2014KdLo2502c	1965	37	126	13293	15421	0.127423643084	0.00239932559497	0.00817067635043	0.86200635497
2014KdMH0405	1853	37	114	13417	15421	0.120160819662	0.00239932559497	0.00739251669801	0.870047338046
2014KdMH2305	1881	25	131	13384	15421	0.121976525517	0.00162116594255	0.00849490953894	0.867907399001
2014KdMH3005	1897	34	115	13375	15421	0.12301407172	0.00220478568186	0.00745736333571	0.867323779262
2014KdML0105	2578	120	174	12549	15421	0.167174631995	0.00778159652422	0.0112833149601	0.81376045652
2014KdML0401	2683	83	164	12491	15421	0.173983528954	0.00538227092925	0.0106348485831	0.809999351534
2014KdML2605	2692	73	182	12474	15421	0.174567148693	0.00473380455223	0.0118020880617	0.808896958693
2014NkNHi0705	2272	70	132	12947	15421	0.147331560859	0.00453926463913	0.00855975617664	0.839569418326
2014NkNHi1205	2299	61	151	12910	15421	0.149082420077	0.00395564489981	0.00979184229298	0.837170092731
2014NkNHi1903	2321	60	139	12901	15421	0.150509046106	0.00389079826211	0.00901368264056	0.836586472991
2014NkNLo0605	1863	74	119	13365	15421	0.120809286039	0.00479865118994	0.00771674988652	0.866675312885
2014NkNLo0801	1892	56	141	13332	15421	0.122689838532	0.0036314117113	0.00914337591596	0.864535373841
2014NkNLo2802	1868	86	141	13326	15421	0.121133519227	0.00557681084236	0.00914337591596	0.864146294015
2014NkNMH1005	1861	74	128	13358	15421	0.120679592763	0.00479865118994	0.00830036962583	0.866221386421
2014NkNMH1401	1895	87	114	13325	15421	0.122884378445	0.00564165748006	0.00739251669801	0.864081447377
2014NkNMH1702b	1907	87	112	13315	15421	0.123662538097	0.00564165748006	0.00726282342261	0.863432981
2014NkNML0504	2091	80	129	13121	15421	0.135594319435	0.00518773101615	0.00836521626354	0.850852733286
2014NkNML0702	2139	64	125	13093	15421	0.138706958044	0.00415018481292	0.00810582971273	0.84903702743
2014NkNML0902	2130	54	154	13083	15421	0.138123338305	0.0035017184359	0.00998638220608	0.848388561053
2014NkSHi0203	1821	68	122	13410	15421	0.118085727255	0.00440957136372	0.00791128979962	0.869593411582
2014NkSHi0505	1886	57	110	13368	15421	0.122300758706	0.003696258349	0.0071331301472	0.866869852798
2014NkSHi2201	1881	57	119	13364	15421	0.121976525517	0.003696258349	0.00771674988652	0.866610466247
2014NkSLo1001c	2117	84	98	13122	15421	0.137280332015	0.00544711756695	0.00635497049478	0.850917579923
2014NkSLo1702	2141	89	109	13082	15421	0.13883665132	0.00577135075546	0.0070682835095	0.848323714415
2014NkSLo2604	2132	105	110	13074	15421	0.13825303158	0.00680889695869	0.0071331301472	0.847804941314
2014NkSMH0104	2193	76	140	13012	15421	0.14220867648	0.00492834446534	0.00907852927826	0.843784449776
2014NkSMH1801	2203	75	161	12982	15421	0.142857142857	0.00486349782764	0.01044030867	0.841839050645
2014NkSMH2901	2241	73	143	12964	15421	0.14532131509	0.00473380455223	0.00927306919136	0.840671811167
2014NkSML2605	2077	41	118	13185	15421	0.134686466507	0.00265871214578	0.00765190324882	0.855002918099
2014NkSML2605TGCGA	2097	45	117	13162	15421	0.135983399261	0.00291809869658	0.00758705661111	0.853511445432
2014NkSML2901	2125	35	110	13151	15421	0.137799105116	0.00226963231956	0.0071331301472	0.852798132417
2015KdHi0302b	2065	29	102	13225	15421	0.133908306854	0.00188055249335	0.00661435704559	0.857596783607
2015KdHi0703	2086	35	116	13184	15421	0.135270086246	0.00226963231956	0.00752220997341	0.854938071461
2015KdHi0905	2064	40	141	13176	15421	0.133843460217	0.00259386550807	0.00914337591596	0.854419298359
2015KdLo1501b	2891	171	155	12204	15421	0.187471629596	0.011088775047	0.0100512288438	0.791388366513
2015KdLo2004d	2929	163	177	12152	15421	0.189935801829	0.0105700019454	0.0114778548732	0.788016341353
2015KdLo2702c	2954	189	137	12141	15421	0.191556967771	0.0122560145256	0.00888398936515	0.787303028338
2015KdMH07A04	5179	561	1288	8393	15421	0.335840736658	0.0363789637507	0.08352246936	0.544257830232
2015KdML0801	2041	36	143	13201	15421	0.132351987549	0.00233447895727	0.00927306919136	0.856040464302
2015KdML0905	2027	54	165	13175	15421	0.131444134622	0.0035017184359	0.0106996952208	0.854354451722
2015KdML2905	2058	61	135	13167	15421	0.13345438039	0.00395564489981	0.00875429608975	0.85383567862
2015NkNHi0904	2198	68	104	13051	15421	0.142532909669	0.00440957136372	0.00674405032099	0.846313468647
2015NkNHi1205	2227	69	99	13026	15421	0.144413462162	0.00447441800143	0.00641981713248	0.844692302704
2015NkNHi2403	2210	68	122	13021	15421	0.143311069321	0.00440957136372	0.00791128979962	0.844368069516
2015NkNML0902b	2126	90	112	13093	15421	0.137863951754	0.00583619739317	0.00726282342261	0.84903702743
2015NkNML1402	2143	71	150	13057	15421	0.138966344595	0.00460411127683	0.00972699565528	0.846702548473
2015NkNML2105	2158	75	144	13044	15421	0.139939044161	0.00486349782764	0.00933791582906	0.845859542183
2015NkNMH0202	2689	164	147	12421	15421	0.17437260878	0.0106348485831	0.00953245574217	0.805460086894
2015NkNMH1001	2763	189	125	12344	15421	0.17917125997	0.0122560145256	0.00810582971273	0.800466895791
2015NkNMH1801b	2746	182	154	12339	15421	0.178068867129	0.0118020880617	0.00998638220608	0.800142662603
2015NkNLo0302	2827	200	144	12250	15421	0.183321444783	0.0129693275404	0.00933791582906	0.794371311847
2015NkNLo2103b	2839	198	158	12226	15421	0.184099604436	0.012839634265	0.0102457687569	0.792814992543
2015NkNLo2805	2854	167	183	12217	15421	0.185072304001	0.0108293884962	0.0118669346994	0.792231372803
2015NkSHi0705c	2007	49	109	13256	15421	0.130147201868	0.00317748524739	0.0070682835095	0.859607029376
2015NkSHi1502	2020	49	132	13220	15421	0.130990208158	0.00317748524739	0.00855975617664	0.857272550418
2015NkSHi2201b	2051	33	132	13205	15421	0.133000453926	0.00213993904416	0.00855975617664	0.856299850853
2015NkSLo3702	2415	81	171	12754	15421	0.15660463005	0.00525257765385	0.011088775047	0.827054017249
2015NkSLo3802b	2509	92	141	12679	15421	0.162700213994	0.00596589066857	0.00914337591596	0.822190519422
2015NkSLo4001	2482	90	181	12668	15421	0.160949354776	0.00583619739317	0.011737241424	0.821477206407
2015-NkS-MH-20-5	1985	86	139	13211	15421	0.128720575838	0.00557681084236	0.00901368264056	0.856688930679
2015NkSMH0302	2038	61	173	13149	15421	0.132157447636	0.00395564489981	0.0112184683224	0.852668439141
2015NkSMH1203	2032	99	155	13135	15421	0.13176836781	0.00641981713248	0.0100512288438	0.851760586214
2015NkSML1301b	2369	52	155	12845	15421	0.153621684716	0.0033720251605	0.0100512288438	0.83295506128
2015NkSML2703b	2425	77	140	12779	15421	0.157253096427	0.00499319110304	0.00907852927826	0.828675183192
2015NkSML3001b	2445	77	127	12772	15421	0.158550029181	0.00499319110304	0.00823552298813	0.828221256728
2015KdMH1104	2391	47	179	12804	15421	0.155048310745	0.00304779197199	0.0116075481486	0.830296349134
2015KdMH2204	2457	53	159	12752	15421	0.159328188833	0.0034368717982	0.0103106153946	0.826924323974
2015KobHi01	1925	209	155	13132	15421	0.124829777576	0.0135529472797	0.0100512288438	0.8515660463
2015KobHi14	1979	206	142	13094	15421	0.128331496012	0.0133584073666	0.00920822255366	0.849101874068
2015PhoMH20	1675	194	115	13437	15421	0.108618118151	0.0125802477142	0.00745736333571	0.8713442708
2015PhoMH21	1729	194	113	13385	15421	0.112119836586	0.0125802477142	0.00732767006031	0.867972245639
2015APRMd09	2408	298	197	12518	15421	0.156150703586	0.0193242980351	0.0127747876273	0.811750210752
2015APRMd20	2464	297	218	12442	15421	0.159782115297	0.0192594513974	0.014136567019	0.806821866286
2015APKHi08	1620	287	198	13316	15421	0.105051553077	0.0186109850204	0.012839634265	0.863497827638
2015APKHi23	1703	312	190	13216	15421	0.110433824006	0.020232150963	0.0123208611633	0.857013163867
