Sample_ID 	Depth_sum 	Site_count 	Avg_depth
2012HBLo01 26527.0 1813.0 14.6315499173
2012HBLo02 22161.0 1689.0 13.1207815275
2012HBMd01 33999.0 1936.0 17.5614669421
2012HBMd02 28180.0 1827.0 15.4241926656
2014KdHi1103 46545.0 2016.0 23.087797619
2014KdHi1402 73582.0 2058.0 35.7541302235
2014KdHi2604 25814.0 1835.0 14.0675749319
2014KdLo1803b 46005.0 1997.0 23.0370555834
2014KdLo2402b 29239.0 1873.0 15.6107848372
2014KdLo2502c 51509.0 2048.0 25.1508789062
2014KdMH0405 27371.0 1769.0 15.4725833804
2014KdMH2305 39895.0 1972.0 20.2307302231
2014KdMH3005 51651.0 2029.0 25.4563824544
2014KdML0105 53049.0 2084.0 25.4553742802
2014KdML0401 78308.0 2124.0 36.868173258
2014KdML2605 34599.0 1915.0 18.0673629243
2014NkNHi0705 36694.0 1985.0 18.4856423174
2014NkNHi1205 52388.0 2054.0 25.5053554041
2014NkNHi1903 54015.0 2074.0 26.043876567
2014NkNLo0605 34522.0 1988.0 17.3651911469
2014NkNLo0801 32111.0 1909.0 16.8208486118
2014NkNLo2802 41373.0 1995.0 20.7383458647
2014NkNMH1005 38267.0 1920.0 19.9307291667
2014NkNMH1401 38987.0 1932.0 20.1796066253
2014NkNMH1702b 39433.0 2003.0 19.6869695457
2014NkNML0504 38439.0 1934.0 19.8753877973
2014NkNML0702 43529.0 2022.0 21.5276953511
2014NkNML0902 79034.0 2124.0 37.2099811676
2014NkSHi0203 37456.0 1945.0 19.2575835476
2014NkSHi0505 42412.0 2043.0 20.7596671561
2014NkSHi2201 28263.0 1865.0 15.1544235925
2014NkSLo1001c 48818.0 2016.0 24.2152777778
2014NkSLo1702 40732.0 1994.0 20.4272818455
2014NkSLo2604 40761.0 1950.0 20.9030769231
2014NkSMH0104 52137.0 2063.0 25.2724188076
2014NkSMH1801 51194.0 2018.0 25.3686818632
2014NkSMH2901 37154.0 1981.0 18.7551741545
2014NkSML2605 43895.0 1999.0 21.9584792396
2014NkSML2605TGCGA 50688.0 2060.0 24.6058252427
2014NkSML2901 44813.0 2021.0 22.1736763978
2015-NkS-MH-20-5 29208.0 1708.0 17.1007025761
2015APKHi08 10688.0 1119.0 9.55138516533
2015APKHi23 33937.0 1792.0 18.9380580357
2015APRMd09 32187.0 1867.0 17.2399571505
2015APRMd20 31387.0 1883.0 16.668613914
2015KdHi0302b 38125.0 1934.0 19.7130299897
2015KdHi0703 43441.0 1956.0 22.2091002045
2015KdHi0905 50121.0 2076.0 24.1430635838
2015KdLo1501b 41810.0 2027.0 20.6265416872
2015KdLo2004d 68257.0 2091.0 32.6432329029
2015KdLo2702c 45535.0 2011.0 22.6429636997
2015KdMH07A04 73687.0 2075.0 35.5118072289
2015KdMH1104 29693.0 1889.0 15.7188988883
2015KdMH2204 42717.0 2034.0 21.0014749263
2015KdML0801 29932.0 1942.0 15.4129763131
2015KdML0905 60035.0 2055.0 29.2141119221
2015KdML2905 41398.0 1971.0 21.0035514967
2015KobHi01 34289.0 1821.0 18.829763866
2015KobHi14 32199.0 1809.0 17.7993366501
2015NkNHi0904 35848.0 1951.0 18.3741670938
2015NkNHi1205 42265.0 2024.0 20.881916996
2015NkNHi2403 35792.0 1990.0 17.9859296482
2015NkNLo0302 33364.0 1942.0 17.1802265705
2015NkNLo2103b 33573.0 1850.0 18.1475675676
2015NkNLo2805 42500.0 2055.0 20.6812652068
2015NkNMH0202 54758.0 2059.0 26.5944633317
2015NkNMH1001 44212.0 1968.0 22.4654471545
2015NkNMH1801b 46247.0 2048.0 22.5815429688
2015NkNML0902b 40996.0 1989.0 20.6113624937
2015NkNML1402 43578.0 2012.0 21.6590457256
2015NkNML2105 43059.0 2042.0 21.0866797258
2015NkSHi0705c 40416.0 1956.0 20.6625766871
2015NkSHi1502 50243.0 2083.0 24.1204992799
2015NkSHi2201b 37627.0 1974.0 19.0612968592
2015NkSLo3702 38968.0 1974.0 19.7406281662
2015NkSLo3802b 30966.0 1823.0 16.9862863412
2015NkSLo4001 41517.0 2034.0 20.4115044248
2015NkSMH0302 49481.0 2007.0 24.6542102641
2015NkSMH1203 47719.0 1986.0 24.027693857
2015NkSML1301b 59595.0 2112.0 28.2173295455
2015NkSML2703b 41563.0 1958.0 21.2272727273
2015NkSML3001b 48412.0 2024.0 23.918972332
2015PhoMH20 34611.0 1803.0 19.1963394343
2015PhoMH21 18709.0 1527.0 12.2521283563
2015SPHi04 47935.0 1945.0 24.6452442159
2015SPHi17 37299.0 1892.0 19.7140591966
2015SPLo15 106290.0 2009.0 52.9069188651
2015SPLo16 40123.0 1873.0 21.4217832355
2015SPMd03 39060.0 1918.0 20.3649635036
2015SPMd23 40792.0 1918.0 21.267987487
2015SSHi13 42748.0 1968.0 21.7215447154
2015SSHi19 37263.0 1870.0 19.9267379679
2015SSLo02 30755.0 1790.0 17.1815642458
2015SSLo09 46891.0 1987.0 23.5988928032
2015SSMH22 50538.0 1979.0 25.5371399697
2015SSML06 32150.0 1872.0 17.1741452991
