total number of sites 15421
pop_name unique_sites all_sites fraction_unique
Kob 31.0 2362.0 0.0131244707875
Kd 814.0 9359.0 0.0869751041778
SS 1306.0 8844.0 0.147670737223
APR 134.0 3050.0 0.0439344262295
SP 182.0 5547.0 0.0328105282134
NkN 318.0 6819.0 0.0466344038715
APK 534.0 2227.0 0.239784463404
NkS 359.0 6317.0 0.0568307741016
HB 1490.0 6074.0 0.245307869608
Ph 9.0 2071.0 0.00434572670208
pop1 pop2 number_sites_together pop1_site_count pop2_site_count fraction_together
Kob APK 932 2362 2227 0.418500224517
Kob Ph 1188 2362 2071 0.573635924674
Kob NkS 2009 2362 6317 0.850550381033
Kob NkN 2004 2362 6819 0.848433530906
Kd APR 2625 9359 3050 0.860655737705
Kd Kob 2170 9359 2362 0.918712955123
Kd NkN 5855 9359 6819 0.858630297698
Kd APK 1407 9359 2227 0.631791647957
Kd NkS 5434 9359 6317 0.860218458129
Kd Ph 1935 9359 2071 0.934331240946
SS SP 4765 8844 5547 0.859022895259
SS Kd 6308 8844 9359 0.713251922207
SS APR 2654 8844 3050 0.870163934426
SS Kob 2088 8844 2362 0.88399661304
SS NkN 4778 8844 6819 0.700689250623
SS APK 1491 8844 2227 0.669510552313
SS NkS 4507 8844 6317 0.713471584613
SS Ph 1858 8844 2071 0.897151134718
SP Kd 4691 5547 9359 0.84568235082
SP APR 2322 5547 3050 0.76131147541
SP Kob 1918 5547 2362 0.812023708721
SP NkN 3876 5547 6819 0.69875608437
SP APK 1271 5547 2227 0.570722945667
SP NkS 3670 5547 6317 0.661618893095
SP Ph 1642 5547 2071 0.792853693868
NkN APK 1281 6819 2227 0.575213291423
NkN Ph 1743 6819 2071 0.841622404635
NkN NkS 4835 6819 6317 0.765394965965
APR NkS 2277 3050 6317 0.746557377049
APR APK 1094 3050 2227 0.491243825775
APR Ph 1290 3050 2071 0.622887493964
APR Kob 1456 3050 2362 0.616426756986
APR NkN 2327 3050 6819 0.762950819672
NkS Ph 1732 6317 2071 0.836310960888
APK Ph 820 2227 2071 0.395943988411
APK NkS 1277 2227 6317 0.573417153121
HB SS 3355 6074 8844 0.552354297004
HB Ph 1388 6074 2071 0.670207629165
HB Kd 4108 6074 9359 0.676325321041
