samp1,samp2,num_sites_where_both_havedata,N_both_het,N_hom_het,N_hom_alt_hom_ref,N_hom_hom_ref,N_hom_hom_alt,pairwise_pi,pairwise_geno
2015NkSHi0705c,2015NkSHi2201b,2165,52,137,29,1931,16,122.5,97.5
2015NkSHi0705c,2015NkSLo4001,1204,22,36,34,1112,0,55.33333333,52
2015NkSHi0705c,2015SPHi04,1370,31,57,155,1122,5,152.5,183.5
2015NkSHi0705c,2015SPLo16,1483,27,73,168,1211,4,166.5,204.5
2015NkSHi0705c,2015SPLo15,1471,34,64,174,1195,4,170.6666667,206
2015NkSHi0705c,2015NkSMH0302,1226,22,44,3,1132,25,38.66666667,25
2015NkSHi0705c,2015KdMH1104,1407,33,68,40,1266,0,82.66666667,74
2015NkSHi0705c,2015NkSML2703b,1358,29,43,38,1248,0,66.16666667,59.5
2015NkSHi0705c,2015NkSLo3702,1204,20,40,32,1112,0,54.66666667,52
2015NkSHi0705c,2015NkSHi1502,2165,59,123,14,1931,38,110.1666667,75.5
2015NkSHi0705c,2015APRMd20,1365,29,52,160,1119,5,152,186
2015NkSHi0705c,2015SSML06,1559,24,79,173,1278,5,170.8333333,212.5
2015NkSHi0705c,2015SSLo09,1323,26,44,138,1112,3,131.3333333,160
2015NkSHi0705c,2015APRMd09,1360,25,59,163,1108,5,154.8333333,192.5
2015NkSHi0705c,2015KobHi01,1257,28,57,142,1026,4,141.8333333,170.5
2015NkSHi0705c,2015SSMH22,1707,36,83,183,1401,4,187.5,224.5
2015NkSHi0705c,2012HBMd02,1377,25,64,93,1193,2,110.6666667,125
2015NkSHi0705c,2015NkSMH1203,1227,23,49,7,1125,23,44.5,31.5
2015NkSHi0705c,2015-NkS-MH-20-5,1220,16,52,4,1123,25,39.33333333,30
2015NkSHi0705c,2015APKHi23,848,22,36,105,681,4,102.6666667,123
2015NkSHi0705c,2015NkSML1301b,1350,27,46,38,1239,0,66.33333333,61
2015NkSHi0705c,2015SPHi17,1377,29,65,161,1117,5,159.1666667,193.5
2015NkSHi0705c,2015SSLo02,1310,29,47,134,1097,3,132.1666667,157.5
2015NkSHi0705c,2015SSHi13,1377,19,53,136,1165,4,129.8333333,162.5
2015NkSHi0705c,2015SPMd03,1387,34,55,159,1134,5,156.1666667,186.5
2015NkSHi0705c,2015APKHi08,848,14,42,104,684,4,99.66666667,125
2015NkSHi0705c,2012HBMd01,1372,28,60,90,1192,2,108.6666667,120
2015NkSHi0705c,2015KdMH2204,1411,30,50,36,1295,0,69,61
2015NkSHi0705c,2015SSHi19,1383,21,58,137,1163,4,134.3333333,166
2015NkSHi0705c,2015PhoMH21,1074,15,41,114,900,4,106.5,134.5
2015NkSHi0705c,2015PhoMH20,1071,14,31,112,910,4,99.5,127.5
2015NkSHi0705c,2015NkSLo3802b,1204,20,36,33,1115,0,53.33333333,51
2015NkSHi0705c,2015SPMd23,1398,30,52,155,1154,7,149.3333333,181
2015NkSHi0705c,2012HBLo01,1131,11,39,80,1001,0,80.16666667,99.5
2015NkSHi0705c,2012HBLo02,1140,17,50,82,991,0,91,107
2015NkSHi0705c,2015KobHi14,1264,27,58,149,1026,4,146.3333333,178
2015NkSHi0705c,2015NkSML3001b,1360,29,37,40,1254,0,64.5,58.5
2014NkNLo0605,2015NkNMH1801b,1266,33,40,53,1136,4,77.33333333,73
2014NkNLo0605,2015NkSHi2201b,1248,30,46,58,1112,2,81.66666667,81
2014NkNLo0605,2015NkNHi1205,1273,27,21,57,1165,3,66.5,67.5
2014NkNLo0605,2015SPMd03,1340,29,62,163,1067,19,159,194
2014NkNLo0605,2015NkSLo4001,1185,29,35,43,1077,1,65.5,60.5
2014NkNLo0605,2015NkSHi0705c,1244,28,38,62,1114,2,79,81
2014NkNLo0605,2015KdLo1501b,1298,39,44,52,1162,1,82.66666667,74
2014NkNLo0605,2014NkSHi0505,1228,38,32,64,1092,2,84,80
2014NkNLo0605,2015KdHi0703,1268,34,24,50,1158,2,68,62
2014NkNLo0605,2015SPHi04,1305,39,57,164,1038,7,163.8333333,192.5
2014NkNLo0605,2015NkNML0902b,1264,28,30,57,1148,1,71.66666667,72
2014NkNLo0605,2014NkSMH0104,1266,42,29,60,1134,1,82.5,74.5
2014NkNLo0605,2015SPLo16,1392,52,63,169,1099,9,178.8333333,200.5
2014NkNLo0605,2015KdML0905,1186,39,36,44,1067,0,73.33333333,62
2014NkNLo0605,2015NkSMH0302,1110,29,31,67,981,2,79.5,82.5
2014NkNLo0605,2015KdMH1104,1338,24,65,46,1201,2,79.16666667,78.5
2014NkNLo0605,2014NkSML2901,1288,29,38,51,1168,2,72.33333333,70
2014NkNLo0605,2015NkNMH0202,1256,43,26,55,1129,3,78.33333333,68
2014NkNLo0605,2014NkNMH1702b,1192,30,33,71,1048,10,83.83333333,87.5
2014NkNLo0605,2015NkSLo3702,1174,30,37,45,1062,0,68.5,63.5
2014NkNLo0605,2015KdML0801,1183,36,35,42,1068,2,69.5,59.5
2014NkNLo0605,2015KdHi0302b,1263,28,31,46,1155,3,64.83333333,61.5
2014NkNLo0605,2014NkSMH2901,1272,35,42,62,1131,2,85.66666667,83
2014NkNLo0605,2015APRMd20,1258,30,53,160,1003,12,153.1666667,186.5
2014NkNLo0605,2015PhoMH21,1049,16,45,114,864,10,109.1666667,136.5
2014NkNLo0605,2015NkNLo2805,1307,38,36,3,1188,42,45.33333333,21
2014NkNLo0605,2014NkNML0504,1331,30,41,70,1188,2,87.16666667,90.5
2014NkNLo0605,2015NkNLo2103b,1305,41,30,10,1182,42,49,25
2014NkNLo0605,2012HBMd01,1290,36,40,82,1116,16,98.66666667,102
2014NkNLo0605,2015NkSHi1502,1248,27,30,67,1122,2,77.66666667,82
2014NkNLo0605,2015NkNMH1001,1264,35,40,52,1133,4,78,72
2014NkNLo0605,2015SSML06,1446,30,87,150,1167,12,163.5,193.5
2014NkNLo0605,2015SSLo09,1258,32,48,144,1022,12,141.3333333,168
2014NkNLo0605,2015NkNLo0302,1303,42,29,5,1185,42,45.83333333,19.5
2014NkNLo0605,2015KobHi01,1239,28,48,136,1015,12,133.3333333,160
2014NkNLo0605,2014NkSLo2604,1217,23,44,43,1106,1,66,65
2014NkNLo0605,2014NkNMH1005,1192,32,34,71,1045,10,85.66666667,88
2014NkNLo0605,2014NkSMH1801,1270,46,26,60,1137,1,83.66666667,73
2014NkNLo0605,2015NkSML2703b,1236,30,39,48,1119,0,71.5,67.5
2014NkNLo0605,2015SSMH22,1530,48,61,160,1249,12,169.1666667,190.5
2014NkNLo0605,2012HBMd02,1297,29,55,87,1115,11,104.8333333,114.5
2014NkNLo0605,2015KdML2905,1186,36,30,44,1076,0,68.33333333,59
2014NkNLo0605,2015NkSMH1203,1110,33,39,65,970,3,84.83333333,84.5
2014NkNLo0605,2015KdLo2702c,1308,33,41,56,1177,1,79.83333333,76.5
2014NkNLo0605,2015-NkS-MH-20-5,1104,30,32,68,972,2,81.33333333,84
2014NkNLo0605,2015KdLo2004d,1308,41,33,54,1179,1,79.83333333,70.5
2014NkNLo0605,2015APKHi23,806,21,33,103,642,7,99.16666667,119.5
2014NkNLo0605,2015NkSML1301b,1230,31,25,53,1121,0,68.5,65.5
2014NkNLo0605,2014NkSML2605TGCGA,1286,35,26,53,1164,8,71.66666667,66
2014NkNLo0605,2015NkNML2105,1271,35,30,58,1147,1,77,73
2014NkNLo0605,2015NkSML3001b,1237,28,27,50,1132,0,65.5,63.5
2014NkNLo0605,2014NkSLo1001c,1213,33,20,50,1110,0,65.33333333,60
2014NkNLo0605,2015NkNHi0904,1269,28,29,56,1153,3,70.5,70.5
2014NkNLo0605,2015SSLo02,1244,30,58,137,1007,12,140.3333333,166
2014NkNLo0605,2014NkNLo0801,2056,65,130,36,1793,32,132.3333333,101
2014NkNLo0605,2014NkSML2605,1284,33,28,46,1173,4,66.66666667,60
2014NkNLo0605,2014NkSLo1702,1216,29,26,44,1114,3,61.66666667,57
2014NkNLo0605,2015APKHi08,805,15,50,108,625,7,107,133
2014NkNLo0605,2014NkNMH1401,1192,24,38,74,1046,10,84.33333333,93
2014NkNLo0605,2015KdMH2204,1348,32,27,45,1242,2,64.83333333,58.5
2014NkNLo0605,2015SSHi19,1314,41,48,135,1080,10,141.3333333,159
2014NkNLo0605,2014NkNLo2802,2056,81,98,35,1787,55,126.3333333,84
2014NkNLo0605,2015PhoMH20,1045,24,27,114,870,10,105.5,127.5
2014NkNLo0605,2015SSHi13,1307,26,52,136,1083,10,134,162
2014NkNLo0605,2015NkSLo3802b,1185,27,26,46,1086,0,61.66666667,59
2014NkNLo0605,2015SPMd23,1346,35,63,171,1063,14,168.8333333,202.5
2014NkNLo0605,2014NkSHi0203,1222,38,38,64,1080,2,87,83
2014NkNLo0605,2014NkNML0902,1333,34,33,64,1200,2,81.83333333,80.5
2014NkNLo0605,2015NkNML1402,1266,32,29,58,1146,1,74.5,72.5
2014NkNLo0605,2015SPHi17,1313,36,61,163,1043,10,163.1666667,193.5
2014NkNLo0605,2015SPLo15,1378,45,75,162,1087,9,175.5,199.5
2014NkNLo0605,2012HBLo01,1092,17,28,73,965,9,74,87
2014NkNLo0605,2012HBLo02,1097,16,46,67,959,9,78.33333333,90
2014NkNLo0605,2015NkNHi2403,1273,29,32,54,1155,3,71.33333333,70
2014NkNLo0605,2015KobHi14,1243,27,48,141,1015,12,136,165
2014NkNLo0605,2015APRMd09,1253,28,64,159,991,11,156.6666667,191
2014NkNLo0605,2015KdHi0905,1268,36,33,48,1149,2,72.5,64.5
2014NkNLo0605,2014NkNML0702,1333,30,35,67,1199,2,82.16666667,84.5
2014NkNLo0605,2014NkSHi2201,1228,34,49,66,1077,2,91.16666667,90.5
2014NkNLo0605,2015KdMH07A04,1730,52,61,12,1559,46,73.16666667,42.5
2014NkSML2901,2015NkNMH1801b,1388,31,35,42,1279,1,66.16666667,59.5
2014NkSML2901,2015NkSHi2201b,1403,35,50,19,1297,2,61,44
2014NkSML2901,2015SPLo15,1515,49,59,160,1247,0,168.8333333,189.5
2014NkSML2901,2015NkSLo4001,1290,34,24,3,1219,10,36.66666667,15
2014NkSML2901,2015NkSHi0705c,1390,31,38,33,1288,0,61.66666667,52
2014NkSML2901,2015KdHi0703,1421,43,25,6,1336,11,45.16666667,18.5
2014NkSML2901,2015SPHi04,1404,35,51,150,1168,0,148.8333333,175.5
2014NkSML2901,2015NkNML0902b,1437,37,44,43,1313,0,75.33333333,65
2014NkSML2901,2015KdLo1501b,1484,44,33,3,1394,10,47.83333333,19.5
2014NkSML2901,2015SPLo16,1531,47,70,163,1251,0,175,198
2014NkSML2901,2015KdML0905,1339,42,43,10,1233,11,56.16666667,31.5
2014NkSML2901,2015NkSMH0302,1209,25,32,43,1108,1,61.33333333,59
2014NkSML2901,2015KdMH1104,1486,39,57,3,1381,6,56.5,31.5
2014NkSML2901,2015KdML0801,1338,44,31,9,1244,10,50.83333333,24.5
2014NkSML2901,2015NkNMH0202,1372,34,33,39,1266,0,65.16666667,55.5
2014NkSML2901,2015NkSLo3702,1277,30,37,1,1200,9,39.16666667,19.5
2014NkSML2901,2015KdHi0302b,1421,43,23,6,1336,13,44.16666667,17.5
2014NkSML2901,2015APRMd20,1366,29,45,154,1137,1,144.5,176.5
2014NkSML2901,2015PhoMH21,1119,26,37,117,936,3,113.8333333,135.5
2014NkSML2901,2015NkNLo2805,1314,33,37,60,1184,0,80.5,78.5
2014NkSML2901,2015NkNLo2103b,1311,34,38,62,1177,0,83,81
2014NkSML2901,2015NkSHi1502,1398,35,34,35,1293,1,63.66666667,52
2014NkSML2901,2015NkNMH1001,1386,30,43,43,1269,1,70.16666667,64.5
2014NkSML2901,2015SSML06,1625,30,101,160,1334,0,177.1666667,210.5
2014NkSML2901,2015SSLo09,1394,35,54,136,1169,0,141,163
2014NkSML2901,2015NkNLo0302,1310,37,38,61,1174,0,84.33333333,80
2014NkSML2901,2015KobHi01,1280,33,45,144,1058,0,140.5,166.5
2014NkSML2901,2015NkNHi1205,1376,26,32,41,1277,0,60.66666667,57
2014NkSML2901,2015NkSML2703b,1408,41,34,1,1323,9,45,18
2014NkSML2901,2015SSMH22,1727,47,80,166,1432,2,182,206
2014NkSML2901,2012HBMd02,1423,27,52,76,1261,7,94.66666667,102
2014NkSML2901,2015NkNHi0904,1371,24,38,44,1265,0,64.33333333,63
2014NkSML2901,2015NkSMH1203,1211,25,36,42,1107,1,62.66666667,60
2014NkSML2901,2015KdLo2702c,1493,39,39,5,1400,10,48.83333333,24.5
2014NkSML2901,2015-NkS-MH-20-5,1208,23,30,43,1111,1,59,58
2014NkSML2901,2015KdLo2004d,1491,46,31,5,1399,10,49.5,20.5
2014NkSML2901,2015APKHi23,842,22,26,101,693,0,95,114
2014NkSML2901,2015NkSML1301b,1399,40,28,1,1321,9,41.33333333,15
2014NkSML2901,2015NkNML2105,1446,43,46,45,1312,0,81.66666667,68
2014NkSML2901,2015SPHi17,1419,35,52,160,1172,0,156,186
2014NkSML2901,2015NkSML3001b,1412,42,16,2,1343,9,37.33333333,10
2014NkSML2901,2015SSLo02,1375,32,54,137,1152,0,139.6666667,164
2014NkSML2901,2015SPMd03,1436,39,60,159,1178,0,162,189
2014NkSML2901,2015APKHi08,837,11,47,103,676,0,99.5,126.5
2014NkSML2901,2012HBMd01,1404,31,54,74,1238,7,97,101
2014NkSML2901,2015KdMH2204,1490,48,25,5,1406,6,47.83333333,17.5
2014NkSML2901,2015SSHi19,1412,38,50,125,1199,0,133.6666667,150
2014NkSML2901,2015KdML2905,1340,43,39,8,1239,11,53.5,27.5
2014NkSML2901,2015PhoMH20,1111,27,25,120,936,3,110.5,132.5
2014NkSML2901,2015SSHi13,1403,37,40,121,1205,0,125.3333333,141
2014NkSML2901,2015NkSLo3802b,1289,28,27,6,1218,10,36.16666667,19.5
2014NkSML2901,2015SPMd23,1453,35,64,165,1189,0,165.3333333,197
2014NkSML2901,2015NkNML1402,1444,43,41,42,1318,0,77.16666667,62.5
2014NkSML2901,2012HBLo01,1202,19,38,54,1086,5,67.66666667,73
2014NkSML2901,2012HBLo02,1206,24,59,53,1065,5,80.83333333,82.5
2014NkSML2901,2015NkNHi2403,1376,27,33,42,1274,0,62.5,58.5
